Day,Cash On Hand (Accumulated) (USD)
0,3500000
1,3487400
2,3148580
3,2439919
4,933145
5,422376
6,81791
7,48390
8,184555
9,135527
10,404570
11,148724
12,515232
13,218668
14,350509
15,477503
16,310532
17,311034
18,313560
19,1137085
20,1546332
21,1136293
22,732996
23,393930
24,351947
25,278331
26,139782
27,297500
28,315131
29,307297
30,587292
31,143382
32,501731
33,419373
34,583206
35,48823
36,453159
37,290756
38,86120
39,78689
40,195188
41,147929
42,219643
43,153886
44,122695
45,183202
46,86037
47,184920
48,344218
49,373984
50,306642
51,196794
52,531147
53,217454
54,298365
55,124577
56,448888
57,463200
58,258890
59,398634
60,406043
61,91586
62,189723
63,3983
64,463286
65,435405
66,416823
67,439255
68,377199
69,625117
70,471707
71,505187
72,277315
73,148383
74,286422
75,114961
76,112892
77,860642
78,398754
79,385465
80,378354
81,221938
82,5875
83,378568
84,735078
85,1645109
86,1433663
87,1343804
88,1815628
89,1868712
90,1828040
