Day,Sales,Trading Profit,Operating Expense,Net Profit
0,0,0,0,0
1,0,0,12600,-12600
2,0,0,351420,-351420
3,6749,2751,454830,-452079
4,51712,21023,576017,-554994
5,97821,14998,701828,-686830
6,149270,35858,930770,-894912
7,2547989,636756,1100598,-463842
8,2613638,665988,1198508,-532520
9,2680493,700145,1316232,-616087
10,3056652,891849,1426681,-534832
11,4494059,1346883,1534877,-187994
12,4980865,1589790,1622452,-32662
13,5402219,1798851,1718703,80148
14,6465279,2208483,1845452,363031
15,8062402,2757662,1955415,802247
16,8162881,2806588,2039843,766745
17,8458161,2857144,2119151,737993
18,8568529,2897572,2230326,667246
19,10470097,3558105,2340022,1218083
20,11365023,3706207,2449692,1256515
21,11482361,3759706,2592928,1166778
22,11600596,3808218,2748485,1059733
23,11730567,3865622,2982017,883605
24,11887188,3928668,3091058,837610
25,13002118,4328938,3201740,1127198
26,14267349,4459715,3358853,1100862
27,14383307,4511369,3470032,1041337
28,15243335,4763214,3655369,1107845
29,15360861,4819682,3778476,1041206
30,16996110,4968737,3876855,1091882
31,17188069,5047560,3976329,1071231
32,17396961,5122638,4078984,1043654
33,19104489,5549479,4295066,1254413
34,19271066,5631131,4401995,1229136
35,19844082,5836938,4509439,1327499
36,21273629,6443482,4615582,1827900
37,21904069,6784256,4721122,2063134
38,22568512,7130056,4830036,2300020
39,23187242,7466536,4938924,2527612
40,25463029,7745428,5054797,2690631
41,25689898,7842033,5163906,2678127
42,25889662,7936543,5295289,2641254
43,28753518,8325875,5435595,2890280
44,28929362,8415051,5581684,2833367
45,29100597,8503368,5741624,2761744
46,29260999,8574138,5880248,2693890
47,30737244,9073867,6010943,3062924
48,31838398,9415624,6243609,3172015
49,32271935,9518272,6410320,3107952
50,33377448,9655185,6521732,3133453
51,33474758,9689236,6670692,3018544
52,34075221,9856174,6824987,3031187
53,35333890,10128403,6934323,3194080
54,36244879,10383073,7043163,3339910
55,36893330,10627427,7151555,3475872
56,37556917,10886533,7259789,3626744
57,37771494,11022142,7368331,3653811
58,37967945,11154186,7539569,3614617
59,38399493,11341131,7649810,3691321
60,38523742,11404506,7760121,3644385
61,38623209,11466649,7871154,3595495
62,38829325,11556788,7982466,3574322
63,38938596,11622831,8093930,3528901
64,39039781,11683044,8243152,3439892
65,39157833,11761875,8382155,3379720
66,39282962,11840749,8525866,3314883
67,39413184,11917642,8633656,3283986
68,39544704,11992215,8785764,3206451
69,40120546,12254404,8924636,3329768
70,40241067,12318499,9033440,3285059
71,41318779,12457511,9190622,3266889
72,41465351,12548196,9347788,3200408
73,42112967,12673680,9460627,3213053
74,43868638,12859894,9587817,3272077
75,44447538,12880513,9723127,3157386
76,44598382,12968663,9876040,3092623
77,48057598,12563045,10087506,2475539
78,48500669,12802186,10213980,2588206
79,48908619,12963761,10340716,2623045
80,50029303,13129656,10508808,2620848
81,51908390,12819024,10813003,2006021
82,53187081,13379796,10935633,2444163
83,53385253,13481694,11074672,2407022
84,54600376,13449430,11198207,2251223
85,55781977,13625213,11355773,2269440
86,55937832,13716232,11500071,2216161
87,56102044,13800290,11640138,2160152
88,56790867,14037853,11780229,2257624
89,56983718,14123222,11919996,2203226
90,57099630,14186953,12059780,2127173
