[HIGHEST OVERHEAD] SALARY EXPENSE: 26.74 % 
[CASH DEFICITS] DAY: 1, AMOUNT: USD 12600
[CASH DEFICITS] DAY: 2, AMOUNT: USD 338820
[CASH DEFICITS] DAY: 3, AMOUNT: USD 708661
[CASH DEFICITS] DAY: 4, AMOUNT: USD 1506774
[CASH DEFICITS] DAY: 5, AMOUNT: USD 510769
[CASH DEFICITS] DAY: 6, AMOUNT: USD 340585
[CASH DEFICITS] DAY: 7, AMOUNT: USD 33401
[CASH DEFICITS] DAY: 9, AMOUNT: USD 49028
[CASH DEFICITS] DAY: 11, AMOUNT: USD 255846
[CASH DEFICITS] DAY: 13, AMOUNT: USD 296564
[CASH DEFICITS] DAY: 16, AMOUNT: USD 166971
[CASH DEFICITS] DAY: 21, AMOUNT: USD 410039
[CASH DEFICITS] DAY: 22, AMOUNT: USD 403297
[CASH DEFICITS] DAY: 23, AMOUNT: USD 339066
[CASH DEFICITS] DAY: 24, AMOUNT: USD 41983
[CASH DEFICITS] DAY: 25, AMOUNT: USD 73616
[CASH DEFICITS] DAY: 26, AMOUNT: USD 138549
[CASH DEFICITS] DAY: 29, AMOUNT: USD 7834
[CASH DEFICITS] DAY: 31, AMOUNT: USD 443910
[CASH DEFICITS] DAY: 33, AMOUNT: USD 82358
[CASH DEFICITS] DAY: 35, AMOUNT: USD 534383
[CASH DEFICITS] DAY: 37, AMOUNT: USD 162403
[CASH DEFICITS] DAY: 38, AMOUNT: USD 204636
[CASH DEFICITS] DAY: 39, AMOUNT: USD 7431
[CASH DEFICITS] DAY: 41, AMOUNT: USD 47259
[CASH DEFICITS] DAY: 43, AMOUNT: USD 65757
[CASH DEFICITS] DAY: 44, AMOUNT: USD 31191
[CASH DEFICITS] DAY: 46, AMOUNT: USD 97165
[CASH DEFICITS] DAY: 50, AMOUNT: USD 67342
[CASH DEFICITS] DAY: 51, AMOUNT: USD 109848
[CASH DEFICITS] DAY: 53, AMOUNT: USD 313693
[CASH DEFICITS] DAY: 55, AMOUNT: USD 173788
[CASH DEFICITS] DAY: 58, AMOUNT: USD 204310
[CASH DEFICITS] DAY: 61, AMOUNT: USD 314457
[CASH DEFICITS] DAY: 63, AMOUNT: USD 185740
[CASH DEFICITS] DAY: 65, AMOUNT: USD 27881
[CASH DEFICITS] DAY: 66, AMOUNT: USD 18582
[CASH DEFICITS] DAY: 68, AMOUNT: USD 62056
[CASH DEFICITS] DAY: 70, AMOUNT: USD 153410
[CASH DEFICITS] DAY: 72, AMOUNT: USD 227872
[CASH DEFICITS] DAY: 73, AMOUNT: USD 128932
[CASH DEFICITS] DAY: 75, AMOUNT: USD 171461
[CASH DEFICITS] DAY: 76, AMOUNT: USD 2069
[CASH DEFICITS] DAY: 78, AMOUNT: USD 461888
[CASH DEFICITS] DAY: 79, AMOUNT: USD 13289
[CASH DEFICITS] DAY: 80, AMOUNT: USD 7111
[CASH DEFICITS] DAY: 81, AMOUNT: USD 156416
[CASH DEFICITS] DAY: 82, AMOUNT: USD 216063
[CASH DEFICITS] DAY: 86, AMOUNT: USD 211446
